# k             sigma       delta     v       da        db       vsr       u   t_trans   itmax    nmax    dt       dx     
  0.1010    -0.05887212    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1110    -0.07855005    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000

  0.0010     0.00000020    0.150   81.000    1.000    6.667    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0060     0.00000209    0.150   81.000    1.000    6.667    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0110    -0.00000188    0.150   81.000    1.000    6.667    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0160    -0.00003247    0.150   81.000    1.000    6.667    1.600   25.000     99     599999    600  0.00050  1.00000

  0.0010     0.00000175    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0060     0.00001381    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0110     0.00003379    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0160     0.00003914    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0210    -0.00000387    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0260    -0.00013760    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0310    -0.00041072    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0360    -0.00087525    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000
  0.0410    -0.00158387    0.200   81.000    1.000    5.000    1.600   25.000     99     599999    600  0.00050  1.00000

  0.0010     0.00000006    0.300  101.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060    -0.00000420    0.300  101.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0110    -0.00003890    0.300  101.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0010     0.00000016    0.300  102.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060    -0.00000103    0.300  102.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
