# k              sigma          delta      dc    db   t_trans   itmax       nmax        dt    dx     
  0.03160000  -0.00012877   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03310000  -0.00014168   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03460000  -0.00015525   2.00000000  1.000  0.500    349     150000       3500  0.010  0.500
  0.03460000  -0.00015523   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.03710000  -0.00017937   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.03960000  -0.00020545   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04210000  -0.00023351   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04460000  -0.00026361   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04710000  -0.00029579   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.04960000  -0.00033012   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05210000  -0.00036664   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05460000  -0.00040542   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05710000  -0.00044651   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.05960000  -0.00048998   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06210000  -0.00053589   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06460000  -0.00058431   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06710000  -0.00063529   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06960000  -0.00068891   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.06960000  -0.00068891   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.07210000  -0.00074522   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.07460000  -0.00080430   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.07710000  -0.00086621   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.07960000  -0.00093103   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.08210000  -0.00099881   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.08460000  -0.00106963   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.08710000  -0.00114356   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.08960000  -0.00122066   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.09210000  -0.00130100   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.09460000  -0.00138466   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.09710000  -0.00147168   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.09960000  -0.00156216   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.10210000  -0.00165614   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.10460000  -0.00175370   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.10710000  -0.00185490   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.10960000  -0.00195980   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.11210000  -0.00206848   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500
  0.11460000  -0.00218099   2.00000000  1.000  0.500    149     120000       3500  0.010  0.500

  0.00010000  -0.00000003   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.00510000  -0.00000007   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.01010000  -0.00000025   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.01510000  -0.00000070   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.02010000  -0.00000165   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.02510000  -0.00000341   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.03010000  -0.00000635   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.03510000  -0.00001095   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.04010000  -0.00001771   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.04510000  -0.00002722   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.05010000  -0.00004011   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.05510000  -0.00005702   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.06010000  -0.00007865   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.06510000  -0.00010573   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.07010000  -0.00013896   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.07510000  -0.00017909   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.08010000  -0.00022685   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.08510000  -0.00028296   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.09010000  -0.00034815   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.09510000  -0.00042312   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.10010000  -0.00050856   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.10510000  -0.00060512   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.11010000  -0.00071347   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.11510000  -0.00083422   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.12010000  -0.00096796   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.12510000  -0.00111526   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.13010000  -0.00127668   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.13510000  -0.00145273   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.14010000  -0.00164390   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.14510000  -0.00185067   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500
  0.15010000  -0.00207348   2.29999992  1.000  0.435    149     120000       3500  0.010  0.500

  0.00010000  -0.00000003   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.01010000   0.00000331   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.02010000   0.00001234   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.03010000   0.00002466   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.04010000   0.00003645   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.05010000   0.00004282   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.06010000   0.00003804   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.07010000   0.00001595   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.08010000  -0.00002981   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.09010000  -0.00010554   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.10010000  -0.00021729   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.11010000  -0.00037078   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.12010000  -0.00057126   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.13010000  -0.00082356   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.14010000  -0.00113204   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.15010000  -0.00150059   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.16010000  -0.00193268   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500
  0.17010000  -0.00243143   2.40000006  1.000  0.417    149     120000       3500  0.010  0.500

  0.01010000  -0.00029108  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.02010000  -0.00015921  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.03010000   0.00002865  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.04010000   0.00024493  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.05010000   0.00047010  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.06010000   0.00069292  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.07010000   0.00090779  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.08010000   0.00111217  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.09010000   0.00130497  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.10010000   0.00148578  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
